Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GlsPer90,AstPer90,G+APer90,G-PKPer90,G+A-PKPer90,xGPer90,xAGPer90,xG+xAGPer90,npxGPer90,npxG+xAGPer90,League
319,Alexis Mac Allister,ar ARG,MF,Liverpool,25,1998,35,30,2599,28.9,5,5,10,5,0,0,6,0,2.8,2.8,4.7,7.5,36,177,80,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26,Premier League
379,Scott McTominay,sct SCO,MF,Napoli,27,1996,34,33,2938,32.6,12,4,16,12,0,0,3,0,7.4,7.4,2.7,10.1,56,112,131,0.37,0.12,0.49,0.37,0.49,0.23,0.08,0.31,0.23,0.31,Serie A
155,Serhou Guirassy,gn GUI,FW,Dortmund,28,1996,30,29,2598,28.9,21,4,25,18,3,4,4,0,22.7,19.6,3.9,23.5,25,43,128,0.73,0.14,0.87,0.62,0.76,0.79,0.14,0.92,0.68,0.81,Bundesliga
311,Khvicha Kvaratskhelia,ge GEO,"FW,MF",Napoli,23,2001,17,15,1178,13.1,5,3,8,4,1,1,1,0,4.1,3.4,3.7,7.0,74,57,89,0.38,0.23,0.61,0.31,0.53,0.32,0.28,0.6,0.26,0.54,Serie A
354,Nuno Mendes,pt POR,DF,Paris S-G,22,2002,24,19,1676,18.6,1,3,4,1,0,0,3,0,2.2,2.2,5.0,7.2,58,127,108,0.05,0.16,0.21,0.05,0.21,0.12,0.27,0.39,0.12,0.39,Ligue 1
225,Erling Haaland,no NOR,FW,Manchester City,24,2000,31,31,2736,30.4,22,3,25,19,3,4,2,0,22.0,18.8,3.0,21.8,24,20,124,0.72,0.1,0.82,0.62,0.72,0.72,0.1,0.82,0.62,0.72,Premier League
288,Khvicha Kvaratskhelia,ge GEO,FW,Paris S-G,23,2001,14,11,916,10.2,4,3,7,4,0,0,0,0,3.3,3.3,4.9,8.2,50,43,131,0.39,0.29,0.69,0.39,0.69,0.32,0.48,0.8,0.32,0.8,Ligue 1
360,Kylian Mbappé,fr FRA,FW,Real Madrid,25,1998,34,34,2907,32.3,31,3,34,24,7,9,3,1,25.9,18.6,7.7,26.3,150,140,386,0.96,0.09,1.05,0.74,0.84,0.8,0.24,1.04,0.58,0.81,La Liga
367,Lautaro Martínez,ar ARG,FW,Inter,26,1997,31,31,2564,28.5,12,3,15,12,0,0,1,0,13.5,13.5,4.3,17.8,34,68,197,0.42,0.11,0.53,0.42,0.53,0.47,0.15,0.62,0.47,0.62,Serie A
306,Robert Lewandowski,pl POL,FW,Barcelona,35,1988,34,32,2667,29.6,27,2,29,24,3,4,1,0,27.1,24.0,2.3,26.3,27,48,164,0.91,0.07,0.98,0.81,0.88,0.92,0.08,0.99,0.81,0.89,La Liga
180,Denzel Dumfries,nl NED,"DF,FW",Inter,28,1996,29,20,1955,21.7,7,2,9,7,0,0,4,0,5.4,5.4,3.2,8.6,55,51,173,0.32,0.09,0.41,0.32,0.41,0.25,0.15,0.4,0.25,0.4,Serie A
534,Vitinha,pt POR,MF,Paris S-G,24,2000,29,20,2042,22.7,5,1,6,3,2,2,1,0,3.4,1.8,2.6,4.4,53,224,57,0.22,0.04,0.26,0.13,0.18,0.15,0.11,0.27,0.08,0.2,Ligue 1
531,Virgil van Dijk,nl NED,DF,Liverpool,33,1991,37,37,3330,37.0,3,1,4,3,0,0,5,0,2.2,2.2,0.7,3.0,22,198,6,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08,Premier League
172,Gianluigi Donnarumma,it ITA,GK,Paris S-G,25,1999,24,24,2091,23.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ligue 1
347,Scott McTominay,sct SCO,MF,Manchester Utd,27,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Premier League
